sample,readsNums,Name,Experiment,Alpha,value
S23,3088,S23,S23,Shannon,2.51765609983087
S23,6176,S23,S23,Shannon,2.52389544296307
S23,9264,S23,S23,Shannon,2.51449061276717
S23,12352,S23,S23,Shannon,2.52347575359999
S23,15440,S23,S23,Shannon,2.5309895417832
S23,18528,S23,S23,Shannon,2.53393341923959
S23,21616,S23,S23,Shannon,2.53508164951354
S23,24704,S23,S23,Shannon,2.53408569623377
S23,27792,S23,S23,Shannon,2.53530115408317
S23,30880,S23,S23,Shannon,2.53094096870713
S23,33968,S23,S23,Shannon,2.53373872138667
S23,37056,S23,S23,Shannon,2.53711582936525
S23,40144,S23,S23,Shannon,2.53531934354282
S23,43232,S23,S23,Shannon,2.53502988937244
S23,46320,S23,S23,Shannon,2.53369867720396
S23,49408,S23,S23,Shannon,2.53333265437712
S23,52496,S23,S23,Shannon,2.53418741038628
S23,55584,S23,S23,Shannon,2.53509422090735
S23,58672,S23,S23,Shannon,2.53624754048435
S23,61760,S23,S23,Shannon,2.53737149541085
S23,64848,S23,S23,Shannon,2.53734086769307
S23,67936,S23,S23,Shannon,2.53732170273654
S23,71024,S23,S23,Shannon,2.53509928871939
S23,74112,S23,S23,Shannon,2.53411909877831
S23,77200,S23,S23,Shannon,2.53575814485989
S23,80288,S23,S23,Shannon,2.53487598175782
S23,83376,S23,S23,Shannon,2.53503460341256
S23,86464,S23,S23,Shannon,2.53427231180868
S23,89552,S23,S23,Shannon,2.53261698530694
S23,92640,S23,S23,Shannon,2.5317827393485
S23,95728,S23,S23,Shannon,2.53197932422684
S23,98816,S23,S23,Shannon,2.53150577952843
S23,101904,S23,S23,Shannon,2.53242113067172
S23,104992,S23,S23,Shannon,2.53208043022654
S23,108080,S23,S23,Shannon,2.53210705836587
S23,111168,S23,S23,Shannon,2.53212171379516
S23,114256,S23,S23,Shannon,2.53151263666317
S23,117344,S23,S23,Shannon,2.53217988759082
S23,120432,S23,S23,Shannon,2.53244090739851
S23,123520,S23,S23,Shannon,2.5335692381046
S23,126608,S23,S23,Shannon,2.53393896869539
S23,129696,S23,S23,Shannon,2.53350848208198
S23,132784,S23,S23,Shannon,2.53380454530087
S23,135872,S23,S23,Shannon,2.53418609995422
S23,138960,S23,S23,Shannon,2.53406338742292
S23,142048,S23,S23,Shannon,2.5331490063051
S23,145136,S23,S23,Shannon,2.53341488251079
S23,148224,S23,S23,Shannon,2.53306341468992
S23,151312,S23,S23,Shannon,2.5335629816744
S23,154400,S23,S23,Shannon,2.53336389595599
S23,154400,S23,S23,Shannon,2.53336389595599
S24,3088,S24,S24,Shannon,3.48538454743827
S24,6176,S24,S24,Shannon,3.48202356278795
S24,9264,S24,S24,Shannon,3.49349485651338
S24,12352,S24,S24,Shannon,3.49902141100232
S24,15440,S24,S24,Shannon,3.50303071417411
S24,18528,S24,S24,Shannon,3.5076293895405
S24,21616,S24,S24,Shannon,3.50467453272994
S24,24704,S24,S24,Shannon,3.50562173147986
S24,27792,S24,S24,Shannon,3.50579060111302
S24,30880,S24,S24,Shannon,3.49920623132443
S24,33968,S24,S24,Shannon,3.49735093853639
S24,37056,S24,S24,Shannon,3.49742385372498
S24,40144,S24,S24,Shannon,3.49567924613319
S24,43232,S24,S24,Shannon,3.49474057963301
S24,46320,S24,S24,Shannon,3.49437066935203
S24,49408,S24,S24,Shannon,3.49393326550234
S24,52496,S24,S24,Shannon,3.49311384453172
S24,55584,S24,S24,Shannon,3.49477359065097
S24,58672,S24,S24,Shannon,3.49549895589732
S24,61760,S24,S24,Shannon,3.4970915141881
S24,64848,S24,S24,Shannon,3.4967257852663
S24,67936,S24,S24,Shannon,3.49603739159093
S24,71024,S24,S24,Shannon,3.49471767722716
S24,74112,S24,S24,Shannon,3.4973055773545
S24,77200,S24,S24,Shannon,3.49616069514985
S24,80288,S24,S24,Shannon,3.49527393988351
S24,83376,S24,S24,Shannon,3.49528951030483
S24,86464,S24,S24,Shannon,3.49570413839405
S24,89552,S24,S24,Shannon,3.49576490651273
S24,92640,S24,S24,Shannon,3.49512034032725
S24,95728,S24,S24,Shannon,3.49503905377488
S24,98816,S24,S24,Shannon,3.49485447238268
S24,101904,S24,S24,Shannon,3.49480648376162
S24,104992,S24,S24,Shannon,3.49369943665546
S24,108080,S24,S24,Shannon,3.4934100156276
S24,111168,S24,S24,Shannon,3.49295800573792
S24,114256,S24,S24,Shannon,3.49340071507025
S24,117344,S24,S24,Shannon,3.49378946046854
S24,120432,S24,S24,Shannon,3.49364627226413
S24,123520,S24,S24,Shannon,3.49381685355219
S24,126608,S24,S24,Shannon,3.49342517770102
S24,129696,S24,S24,Shannon,3.49255068869277
S24,132784,S24,S24,Shannon,3.49292507817862
S24,135872,S24,S24,Shannon,3.49371163122246
S24,138960,S24,S24,Shannon,3.49409816933997
S24,142048,S24,S24,Shannon,3.49340434728258
S24,145136,S24,S24,Shannon,3.49339835722138
S24,148224,S24,S24,Shannon,3.49378550753378
S24,151312,S24,S24,Shannon,3.49413316316124
S24,154400,S24,S24,Shannon,3.49431694120342
S24,154400,S24,S24,Shannon,3.49431694120342
S25,3088,S25,S25,Shannon,2.71369565972313
S25,6176,S25,S25,Shannon,2.70879986060558
S25,9264,S25,S25,Shannon,2.72196620991867
S25,12352,S25,S25,Shannon,2.7257892030583
S25,15440,S25,S25,Shannon,2.73002992416391
S25,18528,S25,S25,Shannon,2.73523976441964
S25,21616,S25,S25,Shannon,2.73207332429554
S25,24704,S25,S25,Shannon,2.73209936341828
S25,27792,S25,S25,Shannon,2.73228236243973
S25,30880,S25,S25,Shannon,2.72464307172838
S25,33968,S25,S25,Shannon,2.72179221949938
S25,37056,S25,S25,Shannon,2.72172283253731
S25,40144,S25,S25,Shannon,2.71987449371943
S25,43232,S25,S25,Shannon,2.71843675858372
S25,46320,S25,S25,Shannon,2.71819753923602
S25,49408,S25,S25,Shannon,2.7180334531503
S25,52496,S25,S25,Shannon,2.71715993324394
S25,55584,S25,S25,Shannon,2.71873984348216
S25,58672,S25,S25,Shannon,2.71971175347377
S25,61760,S25,S25,Shannon,2.72171671838933
S25,64848,S25,S25,Shannon,2.7215499588728
S25,67936,S25,S25,Shannon,2.72022096261583
S25,71024,S25,S25,Shannon,2.71892980756782
S25,74112,S25,S25,Shannon,2.72151927114386
S25,77200,S25,S25,Shannon,2.72005843688423
S25,80288,S25,S25,Shannon,2.71910928579126
S25,83376,S25,S25,Shannon,2.71909971822977
S25,86464,S25,S25,Shannon,2.71947008008886
S25,89552,S25,S25,Shannon,2.71971186023466
S25,92640,S25,S25,Shannon,2.71905293950561
S25,95728,S25,S25,Shannon,2.71885532429148
S25,98816,S25,S25,Shannon,2.71868757027375
S25,101904,S25,S25,Shannon,2.71867308985489
S25,104992,S25,S25,Shannon,2.71750875271109
S25,108080,S25,S25,Shannon,2.71734111148142
S25,111168,S25,S25,Shannon,2.71693555065769
S25,114256,S25,S25,Shannon,2.71739584041241
S25,117344,S25,S25,Shannon,2.71771101493513
S25,120432,S25,S25,Shannon,2.71751372953327
S25,123520,S25,S25,Shannon,2.71753938491324
S25,126608,S25,S25,Shannon,2.71712487241043
S25,129696,S25,S25,Shannon,2.71627033416829
S25,132784,S25,S25,Shannon,2.71664501011749
S25,135872,S25,S25,Shannon,2.71730716630575
S25,138960,S25,S25,Shannon,2.71764879271402
S25,142048,S25,S25,Shannon,2.71695730180683
S25,145136,S25,S25,Shannon,2.71719731453534
S25,148224,S25,S25,Shannon,2.71762245718557
S25,151312,S25,S25,Shannon,2.71807442397083
S25,154400,S25,S25,Shannon,2.71816773665572
S25,154400,S25,S25,Shannon,2.71816773665572
S26,3088,S26,S26,Shannon,2.90653508937123
S26,6176,S26,S26,Shannon,2.90221642313251
S26,9264,S26,S26,Shannon,2.91992550406808
S26,12352,S26,S26,Shannon,2.92533728572363
S26,15440,S26,S26,Shannon,2.93096936187467
S26,18528,S26,S26,Shannon,2.93786767982395
S26,21616,S26,S26,Shannon,2.93488037934702
S26,24704,S26,S26,Shannon,2.93600954196609
S26,27792,S26,S26,Shannon,2.93593849305605
S26,30880,S26,S26,Shannon,2.92764003363786
S26,33968,S26,S26,Shannon,2.9252344820447
S26,37056,S26,S26,Shannon,2.92532882501644
S26,40144,S26,S26,Shannon,2.92345214867065
S26,43232,S26,S26,Shannon,2.92272965200768
S26,46320,S26,S26,Shannon,2.92236617780349
S26,49408,S26,S26,Shannon,2.92212414007817
S26,52496,S26,S26,Shannon,2.92103464201736
S26,55584,S26,S26,Shannon,2.92361876019788
S26,58672,S26,S26,Shannon,2.92473999964544
S26,61760,S26,S26,Shannon,2.92707767593012
S26,64848,S26,S26,Shannon,2.92670475295941
S26,67936,S26,S26,Shannon,2.92553659888401
S26,71024,S26,S26,Shannon,2.92423230321628
S26,74112,S26,S26,Shannon,2.92686462752851
S26,77200,S26,S26,Shannon,2.92548921258907
S26,80288,S26,S26,Shannon,2.92455068312658
S26,83376,S26,S26,Shannon,2.92470263388116
S26,86464,S26,S26,Shannon,2.92542397597582
S26,89552,S26,S26,Shannon,2.92590614575335
S26,92640,S26,S26,Shannon,2.9253827627429
S26,95728,S26,S26,Shannon,2.92525690263508
S26,98816,S26,S26,Shannon,2.92535816715019
S26,101904,S26,S26,Shannon,2.9253737345284
S26,104992,S26,S26,Shannon,2.9239847504492
S26,108080,S26,S26,Shannon,2.92367451796614
S26,111168,S26,S26,Shannon,2.9230243461451
S26,114256,S26,S26,Shannon,2.923564541953
S26,117344,S26,S26,Shannon,2.92378732374885
S26,120432,S26,S26,Shannon,2.92371292544391
S26,123520,S26,S26,Shannon,2.92381728304279
S26,126608,S26,S26,Shannon,2.9234040720353
S26,129696,S26,S26,Shannon,2.92243558435986
S26,132784,S26,S26,Shannon,2.92296623055043
S26,135872,S26,S26,Shannon,2.92390795192478
S26,138960,S26,S26,Shannon,2.92420425461674
S26,142048,S26,S26,Shannon,2.92354681655725
S26,145136,S26,S26,Shannon,2.92368073177609
S26,148224,S26,S26,Shannon,2.92405667157599
S26,151312,S26,S26,Shannon,2.92433107103766
S26,154400,S26,S26,Shannon,2.92432256870222
S26,154400,S26,S26,Shannon,2.92432256870222
S27,3088,S27,S27,Shannon,2.80543967709653
S27,6176,S27,S27,Shannon,2.80229532972345
S27,9264,S27,S27,Shannon,2.82461337318113
S27,12352,S27,S27,Shannon,2.82986863551477
S27,15440,S27,S27,Shannon,2.83526322721914
S27,18528,S27,S27,Shannon,2.8421987267618
S27,21616,S27,S27,Shannon,2.83950311605248
S27,24704,S27,S27,Shannon,2.84087422520604
S27,27792,S27,S27,Shannon,2.84092395300652
S27,30880,S27,S27,Shannon,2.83228018041003
S27,33968,S27,S27,Shannon,2.82948343662391
S27,37056,S27,S27,Shannon,2.82959548310905
S27,40144,S27,S27,Shannon,2.82759393719558
S27,43232,S27,S27,Shannon,2.82659066667467
S27,46320,S27,S27,Shannon,2.82615275307257
S27,49408,S27,S27,Shannon,2.82617250142299
S27,52496,S27,S27,Shannon,2.82450104773968
S27,55584,S27,S27,Shannon,2.8273740058983
S27,58672,S27,S27,Shannon,2.82846362542287
S27,61760,S27,S27,Shannon,2.83094718610947
S27,64848,S27,S27,Shannon,2.83089809694682
S27,67936,S27,S27,Shannon,2.82971079774739
S27,71024,S27,S27,Shannon,2.82851824904556
S27,74112,S27,S27,Shannon,2.83114039714861
S27,77200,S27,S27,Shannon,2.82954815551622
S27,80288,S27,S27,Shannon,2.82851420187642
S27,83376,S27,S27,Shannon,2.82841800960701
S27,86464,S27,S27,Shannon,2.82916281172896
S27,89552,S27,S27,Shannon,2.82979184570593
S27,92640,S27,S27,Shannon,2.8295544352578
S27,95728,S27,S27,Shannon,2.8294818495625
S27,98816,S27,S27,Shannon,2.82949060008551
S27,101904,S27,S27,Shannon,2.82964822373684
S27,104992,S27,S27,Shannon,2.82833608673484
S27,108080,S27,S27,Shannon,2.82783900541988
S27,111168,S27,S27,Shannon,2.82724895968724
S27,114256,S27,S27,Shannon,2.82766578966515
S27,117344,S27,S27,Shannon,2.8278292055313
S27,120432,S27,S27,Shannon,2.82780575220129
S27,123520,S27,S27,Shannon,2.82798889816323
S27,126608,S27,S27,Shannon,2.82769689229254
S27,129696,S27,S27,Shannon,2.82686387956496
S27,132784,S27,S27,Shannon,2.82756465145316
S27,135872,S27,S27,Shannon,2.8285044373431
S27,138960,S27,S27,Shannon,2.82868779721121
S27,142048,S27,S27,Shannon,2.82802075106029
S27,145136,S27,S27,Shannon,2.82818996957764
S27,148224,S27,S27,Shannon,2.82836767184584
S27,151312,S27,S27,Shannon,2.82865460400942
S27,154400,S27,S27,Shannon,2.82854448456324
S27,154400,S27,S27,Shannon,2.82854448456324
S28,3088,S28,S28,Shannon,2.62969534958484
S28,6176,S28,S28,Shannon,2.62146859288814
S28,9264,S28,S28,Shannon,2.63519610369794
S28,12352,S28,S28,Shannon,2.63766637401721
S28,15440,S28,S28,Shannon,2.6415439506852
S28,18528,S28,S28,Shannon,2.64730416957075
S28,21616,S28,S28,Shannon,2.64409603398094
S28,24704,S28,S28,Shannon,2.64518484046461
S28,27792,S28,S28,Shannon,2.64467221552303
S28,30880,S28,S28,Shannon,2.63722720473371
S28,33968,S28,S28,Shannon,2.63446886501269
S28,37056,S28,S28,Shannon,2.63432429916711
S28,40144,S28,S28,Shannon,2.63286079057711
S28,43232,S28,S28,Shannon,2.63197553453963
S28,46320,S28,S28,Shannon,2.63154899290943
S28,49408,S28,S28,Shannon,2.63162616097121
S28,52496,S28,S28,Shannon,2.63001494141734
S28,55584,S28,S28,Shannon,2.632547268984
S28,58672,S28,S28,Shannon,2.63349994513811
S28,61760,S28,S28,Shannon,2.63577592969899
S28,64848,S28,S28,Shannon,2.63559389178596
S28,67936,S28,S28,Shannon,2.6348431643803
S28,71024,S28,S28,Shannon,2.63406723435951
S28,74112,S28,S28,Shannon,2.63618725224565
S28,77200,S28,S28,Shannon,2.63478547700599
S28,80288,S28,S28,Shannon,2.63375741496072
S28,83376,S28,S28,Shannon,2.63389984534749
S28,86464,S28,S28,Shannon,2.63446006376221
S28,89552,S28,S28,Shannon,2.63514332585455
S28,92640,S28,S28,Shannon,2.63500660151678
S28,95728,S28,S28,Shannon,2.63504078097371
S28,98816,S28,S28,Shannon,2.63507582670073
S28,101904,S28,S28,Shannon,2.63520929790954
S28,104992,S28,S28,Shannon,2.63381161442514
S28,108080,S28,S28,Shannon,2.63326049350036
S28,111168,S28,S28,Shannon,2.63251637009896
S28,114256,S28,S28,Shannon,2.63288473758399
S28,117344,S28,S28,Shannon,2.63284508009667
S28,120432,S28,S28,Shannon,2.63270036502344
S28,123520,S28,S28,Shannon,2.6328274387003
S28,126608,S28,S28,Shannon,2.63242111835525
S28,129696,S28,S28,Shannon,2.63188438683436
S28,132784,S28,S28,Shannon,2.63223309525113
S28,135872,S28,S28,Shannon,2.6330120828518
S28,138960,S28,S28,Shannon,2.63326250993745
S28,142048,S28,S28,Shannon,2.63272129408971
S28,145136,S28,S28,Shannon,2.63298438912838
S28,148224,S28,S28,Shannon,2.63325402877165
S28,151312,S28,S28,Shannon,2.633488590925
S28,154400,S28,S28,Shannon,2.63339732102111
S28,154400,S28,S28,Shannon,2.63339732102111
S29,3088,S29,S29,Shannon,2.65534002580252
S29,6176,S29,S29,Shannon,2.65094764516354
S29,9264,S29,S29,Shannon,2.66817480907465
S29,12352,S29,S29,Shannon,2.67282451839518
S29,15440,S29,S29,Shannon,2.67816228081233
S29,18528,S29,S29,Shannon,2.68364284042214
S29,21616,S29,S29,Shannon,2.68113752058512
S29,24704,S29,S29,Shannon,2.6819811813012
S29,27792,S29,S29,Shannon,2.68169844128969
S29,30880,S29,S29,Shannon,2.67404300267733
S29,33968,S29,S29,Shannon,2.67080270359265
S29,37056,S29,S29,Shannon,2.67096458616081
S29,40144,S29,S29,Shannon,2.6689604554599
S29,43232,S29,S29,Shannon,2.6680768240914
S29,46320,S29,S29,Shannon,2.66789811088305
S29,49408,S29,S29,Shannon,2.66816101954745
S29,52496,S29,S29,Shannon,2.66709614446453
S29,55584,S29,S29,Shannon,2.66975409688963
S29,58672,S29,S29,Shannon,2.67044454573243
S29,61760,S29,S29,Shannon,2.67268871913492
S29,64848,S29,S29,Shannon,2.67265090879604
S29,67936,S29,S29,Shannon,2.67154118917296
S29,71024,S29,S29,Shannon,2.6705327959021
S29,74112,S29,S29,Shannon,2.6725620973303
S29,77200,S29,S29,Shannon,2.67132085655843
S29,80288,S29,S29,Shannon,2.6701951044064
S29,83376,S29,S29,Shannon,2.67014213631419
S29,86464,S29,S29,Shannon,2.67058084177585
S29,89552,S29,S29,Shannon,2.67134535302803
S29,92640,S29,S29,Shannon,2.67110521955866
S29,95728,S29,S29,Shannon,2.67084189902474
S29,98816,S29,S29,Shannon,2.67088165786621
S29,101904,S29,S29,Shannon,2.67113709625526
S29,104992,S29,S29,Shannon,2.67011313703284
S29,108080,S29,S29,Shannon,2.66975518547748
S29,111168,S29,S29,Shannon,2.66922914960663
S29,114256,S29,S29,Shannon,2.66953601389003
S29,117344,S29,S29,Shannon,2.66980578282867
S29,120432,S29,S29,Shannon,2.66969917370753
S29,123520,S29,S29,Shannon,2.66993327626665
S29,126608,S29,S29,Shannon,2.66956534617692
S29,129696,S29,S29,Shannon,2.66901473775384
S29,132784,S29,S29,Shannon,2.66969905412712
S29,135872,S29,S29,Shannon,2.67037959036114
S29,138960,S29,S29,Shannon,2.67057400672632
S29,142048,S29,S29,Shannon,2.67003510361971
S29,145136,S29,S29,Shannon,2.67040499696578
S29,148224,S29,S29,Shannon,2.67054789213121
S29,151312,S29,S29,Shannon,2.67083716087522
S29,154400,S29,S29,Shannon,2.67062904550216
