sample,readsNums,Name,Experiment,Alpha,value
S29,154400,S29,S29,Shannon,2.67062904550216
S37,3088,S37,S37,Shannon,2.47209716932695
S37,6176,S37,S37,Shannon,2.46848325037506
S37,9264,S37,S37,Shannon,2.4858347226821
S37,12352,S37,S37,Shannon,2.48913313242967
S37,15440,S37,S37,Shannon,2.49407058474729
S37,18528,S37,S37,Shannon,2.50075504405018
S37,21616,S37,S37,Shannon,2.49895171728223
S37,24704,S37,S37,Shannon,2.49933298051239
S37,27792,S37,S37,Shannon,2.50068567964293
S37,30880,S37,S37,Shannon,2.49443746988109
S37,33968,S37,S37,Shannon,2.49255913695378
S37,37056,S37,S37,Shannon,2.49254567254671
S37,40144,S37,S37,Shannon,2.49133358875921
S37,43232,S37,S37,Shannon,2.49016277594978
S37,46320,S37,S37,Shannon,2.49011433850826
S37,49408,S37,S37,Shannon,2.48999512845394
S37,52496,S37,S37,Shannon,2.48895030396118
S37,55584,S37,S37,Shannon,2.49117359430449
S37,58672,S37,S37,Shannon,2.49181203678593
S37,61760,S37,S37,Shannon,2.49400025081192
S37,64848,S37,S37,Shannon,2.49397983732626
S37,67936,S37,S37,Shannon,2.4930290081729
S37,71024,S37,S37,Shannon,2.49186585529268
S37,74112,S37,S37,Shannon,2.49373764296954
S37,77200,S37,S37,Shannon,2.49240672817636
S37,80288,S37,S37,Shannon,2.49172811171155
S37,83376,S37,S37,Shannon,2.49183595464842
S37,86464,S37,S37,Shannon,2.49233961331112
S37,89552,S37,S37,Shannon,2.49263860139515
S37,92640,S37,S37,Shannon,2.4921267716602
S37,95728,S37,S37,Shannon,2.49207984319434
S37,98816,S37,S37,Shannon,2.49215661645312
S37,101904,S37,S37,Shannon,2.49229626161792
S37,104992,S37,S37,Shannon,2.49095617064038
S37,108080,S37,S37,Shannon,2.49061254324366
S37,111168,S37,S37,Shannon,2.48997285120709
S37,114256,S37,S37,Shannon,2.49036604448894
S37,117344,S37,S37,Shannon,2.49045703151649
S37,120432,S37,S37,Shannon,2.49027832778693
S37,123520,S37,S37,Shannon,2.49040619970087
S37,126608,S37,S37,Shannon,2.48992142873625
S37,129696,S37,S37,Shannon,2.48930301653203
S37,132784,S37,S37,Shannon,2.48976678064902
S37,135872,S37,S37,Shannon,2.49031626584428
S37,138960,S37,S37,Shannon,2.49037385421864
S37,142048,S37,S37,Shannon,2.48979929552417
S37,145136,S37,S37,Shannon,2.48993037035942
S37,148224,S37,S37,Shannon,2.49012355660951
S37,151312,S37,S37,Shannon,2.49038481918106
S37,154400,S37,S37,Shannon,2.49033820806035
S37,154400,S37,S37,Shannon,2.49033820806035
S38,3088,S38,S38,Shannon,2.90647004942289
S38,6176,S38,S38,Shannon,2.90110738489994
S38,9264,S38,S38,Shannon,2.91627761534796
S38,12352,S38,S38,Shannon,2.9215667114573
S38,15440,S38,S38,Shannon,2.9265699422478
S38,18528,S38,S38,Shannon,2.93173363111416
S38,21616,S38,S38,Shannon,2.92881644932574
S38,24704,S38,S38,Shannon,2.92942464951584
S38,27792,S38,S38,Shannon,2.92923250849399
S38,30880,S38,S38,Shannon,2.9214867073584
S38,33968,S38,S38,Shannon,2.91880923454545
S38,37056,S38,S38,Shannon,2.91881481506692
S38,40144,S38,S38,Shannon,2.91729722878698
S38,43232,S38,S38,Shannon,2.91626514553202
S38,46320,S38,S38,Shannon,2.91611690526023
S38,49408,S38,S38,Shannon,2.91591252592618
S38,52496,S38,S38,Shannon,2.91483174487747
S38,55584,S38,S38,Shannon,2.9169029530578
S38,58672,S38,S38,Shannon,2.91779782159251
S38,61760,S38,S38,Shannon,2.92015453842435
S38,64848,S38,S38,Shannon,2.91990310127636
S38,67936,S38,S38,Shannon,2.9191968261815
S38,71024,S38,S38,Shannon,2.91802141370083
S38,74112,S38,S38,Shannon,2.92074570835948
S38,77200,S38,S38,Shannon,2.91934619502781
S38,80288,S38,S38,Shannon,2.91832098107683
S38,83376,S38,S38,Shannon,2.91835057399748
S38,86464,S38,S38,Shannon,2.91898418990791
S38,89552,S38,S38,Shannon,2.91945031721546
S38,92640,S38,S38,Shannon,2.91901300378001
S38,95728,S38,S38,Shannon,2.91882314786551
S38,98816,S38,S38,Shannon,2.91872698945433
S38,101904,S38,S38,Shannon,2.91878262553114
S38,104992,S38,S38,Shannon,2.91738632064465
S38,108080,S38,S38,Shannon,2.9168691194588
S38,111168,S38,S38,Shannon,2.91623707061383
S38,114256,S38,S38,Shannon,2.91669737281398
S38,117344,S38,S38,Shannon,2.91684060868495
S38,120432,S38,S38,Shannon,2.91660494545729
S38,123520,S38,S38,Shannon,2.91672101993244
S38,126608,S38,S38,Shannon,2.91632421451325
S38,129696,S38,S38,Shannon,2.91550213463562
S38,132784,S38,S38,Shannon,2.91585180445916
S38,135872,S38,S38,Shannon,2.91667372965132
S38,138960,S38,S38,Shannon,2.91701889002756
S38,142048,S38,S38,Shannon,2.91637076624122
S38,145136,S38,S38,Shannon,2.9166173948074
S38,148224,S38,S38,Shannon,2.91706755705092
S38,151312,S38,S38,Shannon,2.9174087457872
S38,154400,S38,S38,Shannon,2.91746181572658
S38,154400,S38,S38,Shannon,2.91746181572658
S39,3088,S39,S39,Shannon,2.60041297068361
S39,6176,S39,S39,Shannon,2.59277859728301
S39,9264,S39,S39,Shannon,2.60084116233217
S39,12352,S39,S39,Shannon,2.59844357524667
S39,15440,S39,S39,Shannon,2.59796143586263
S39,18528,S39,S39,Shannon,2.60545998484531
S39,21616,S39,S39,Shannon,2.60396605151847
S39,24704,S39,S39,Shannon,2.60061121674245
S39,27792,S39,S39,Shannon,2.59919704070014
S39,30880,S39,S39,Shannon,2.60025420254112
S39,33968,S39,S39,Shannon,2.60289022804524
S39,37056,S39,S39,Shannon,2.60256616462754
S39,40144,S39,S39,Shannon,2.60051791232969
S39,43232,S39,S39,Shannon,2.60040461356089
S39,46320,S39,S39,Shannon,2.60093701585418
S39,49408,S39,S39,Shannon,2.59858669057022
S39,52496,S39,S39,Shannon,2.60103597081523
S39,55584,S39,S39,Shannon,2.60147300740596
S39,58672,S39,S39,Shannon,2.60085055123555
S39,61760,S39,S39,Shannon,2.60037214177956
S39,64848,S39,S39,Shannon,2.59778188868052
S39,67936,S39,S39,Shannon,2.59642460404995
S39,71024,S39,S39,Shannon,2.59481922283809
S39,74112,S39,S39,Shannon,2.59544905062846
S39,77200,S39,S39,Shannon,2.59603692670256
S39,80288,S39,S39,Shannon,2.59611180958798
S39,83376,S39,S39,Shannon,2.59569134111502
S39,86464,S39,S39,Shannon,2.59523875213976
S39,89552,S39,S39,Shannon,2.59434722045636
S39,92640,S39,S39,Shannon,2.59346615925006
S39,95728,S39,S39,Shannon,2.59329608885835
S39,98816,S39,S39,Shannon,2.59265767187411
S39,101904,S39,S39,Shannon,2.59300450320621
S39,104992,S39,S39,Shannon,2.59346598011449
S39,108080,S39,S39,Shannon,2.59397054421862
S39,111168,S39,S39,Shannon,2.59423776468874
S39,114256,S39,S39,Shannon,2.59505179380062
S39,117344,S39,S39,Shannon,2.59609083011257
S39,120432,S39,S39,Shannon,2.59646948060719
S39,123520,S39,S39,Shannon,2.59658434150728
S39,126608,S39,S39,Shannon,2.59582014208371
S39,129696,S39,S39,Shannon,2.59606125974227
S39,132784,S39,S39,Shannon,2.59533600875243
S39,135872,S39,S39,Shannon,2.5959096097405
S39,138960,S39,S39,Shannon,2.59610190544589
S39,142048,S39,S39,Shannon,2.59578190961842
S39,145136,S39,S39,Shannon,2.59548954062611
S39,148224,S39,S39,Shannon,2.59535863663157
S39,151312,S39,S39,Shannon,2.5961022644238
S39,154400,S39,S39,Shannon,2.59661093270802
S39,154400,S39,S39,Shannon,2.59661093270802
S40,3088,S40,S40,Shannon,2.89718435045353
S40,6176,S40,S40,Shannon,2.89110685177999
S40,9264,S40,S40,Shannon,2.90697158395602
S40,12352,S40,S40,Shannon,2.91296291449869
S40,15440,S40,S40,Shannon,2.91855199487956
S40,18528,S40,S40,Shannon,2.92485244891326
S40,21616,S40,S40,Shannon,2.92152642138176
S40,24704,S40,S40,Shannon,2.9222566698777
S40,27792,S40,S40,Shannon,2.92258452928974
S40,30880,S40,S40,Shannon,2.91426786156577
S40,33968,S40,S40,Shannon,2.91176083714095
S40,37056,S40,S40,Shannon,2.91159025259768
S40,40144,S40,S40,Shannon,2.90998090617619
S40,43232,S40,S40,Shannon,2.90881313020474
S40,46320,S40,S40,Shannon,2.90856627269643
S40,49408,S40,S40,Shannon,2.90838776276101
S40,52496,S40,S40,Shannon,2.90742530159391
S40,55584,S40,S40,Shannon,2.90943486928287
S40,58672,S40,S40,Shannon,2.91044562852847
S40,61760,S40,S40,Shannon,2.9126595884734
S40,64848,S40,S40,Shannon,2.91215335654859
S40,67936,S40,S40,Shannon,2.91109585857903
S40,71024,S40,S40,Shannon,2.90969341710457
S40,74112,S40,S40,Shannon,2.91241265487325
S40,77200,S40,S40,Shannon,2.91089802828711
S40,80288,S40,S40,Shannon,2.91007190810568
S40,83376,S40,S40,Shannon,2.91008632395839
S40,86464,S40,S40,Shannon,2.91063775445116
S40,89552,S40,S40,Shannon,2.91077052431507
S40,92640,S40,S40,Shannon,2.91002211969609
S40,95728,S40,S40,Shannon,2.90984907856645
S40,98816,S40,S40,Shannon,2.90970601663298
S40,101904,S40,S40,Shannon,2.90976057032613
S40,104992,S40,S40,Shannon,2.90828134627028
S40,108080,S40,S40,Shannon,2.908013503026
S40,111168,S40,S40,Shannon,2.90741905009828
S40,114256,S40,S40,Shannon,2.90787759468402
S40,117344,S40,S40,Shannon,2.90819090911182
S40,120432,S40,S40,Shannon,2.9080210477665
S40,123520,S40,S40,Shannon,2.90818403798376
S40,126608,S40,S40,Shannon,2.9076309226222
S40,129696,S40,S40,Shannon,2.90671518159377
S40,132784,S40,S40,Shannon,2.90716737089709
S40,135872,S40,S40,Shannon,2.90793871494112
S40,138960,S40,S40,Shannon,2.90829063734868
S40,142048,S40,S40,Shannon,2.9075835824998
S40,145136,S40,S40,Shannon,2.90766437744066
S40,148224,S40,S40,Shannon,2.90806318843238
S40,151312,S40,S40,Shannon,2.9084699857887
S40,154400,S40,S40,Shannon,2.90860375544105
S40,154400,S40,S40,Shannon,2.90860375544105
S41,3088,S41,S41,Shannon,2.66082714829199
S41,6176,S41,S41,Shannon,2.65492906589416
S41,9264,S41,S41,Shannon,2.66944053598097
S41,12352,S41,S41,Shannon,2.6724132054381
S41,15440,S41,S41,Shannon,2.6777917476904
S41,18528,S41,S41,Shannon,2.68314193939888
S41,21616,S41,S41,Shannon,2.68060353251222
S41,24704,S41,S41,Shannon,2.68121996577624
S41,27792,S41,S41,Shannon,2.6811823026767
S41,30880,S41,S41,Shannon,2.67421319835877
S41,33968,S41,S41,Shannon,2.67201209150453
S41,37056,S41,S41,Shannon,2.67204224659533
S41,40144,S41,S41,Shannon,2.67022064011563
S41,43232,S41,S41,Shannon,2.66926484728256
S41,46320,S41,S41,Shannon,2.66882955549019
S41,49408,S41,S41,Shannon,2.66854814277163
S41,52496,S41,S41,Shannon,2.66736406433067
S41,55584,S41,S41,Shannon,2.66969046603371
S41,58672,S41,S41,Shannon,2.67071498039429
S41,61760,S41,S41,Shannon,2.67277514670781
S41,64848,S41,S41,Shannon,2.67266710005757
S41,67936,S41,S41,Shannon,2.67164875974042
S41,71024,S41,S41,Shannon,2.67043338099344
S41,74112,S41,S41,Shannon,2.67261756723318
S41,77200,S41,S41,Shannon,2.6713946701593
S41,80288,S41,S41,Shannon,2.67052918691648
S41,83376,S41,S41,Shannon,2.67044994923254
S41,86464,S41,S41,Shannon,2.67090241409412
S41,89552,S41,S41,Shannon,2.67116488641078
S41,92640,S41,S41,Shannon,2.67075900194865
S41,95728,S41,S41,Shannon,2.67064537944382
S41,98816,S41,S41,Shannon,2.67058112950734
S41,101904,S41,S41,Shannon,2.67068269857112
S41,104992,S41,S41,Shannon,2.66948507021594
S41,108080,S41,S41,Shannon,2.66921448129466
S41,111168,S41,S41,Shannon,2.6686593701963
S41,114256,S41,S41,Shannon,2.66901829451429
S41,117344,S41,S41,Shannon,2.66920098823003
S41,120432,S41,S41,Shannon,2.66914827331722
S41,123520,S41,S41,Shannon,2.66933041372781
S41,126608,S41,S41,Shannon,2.66904246707085
S41,129696,S41,S41,Shannon,2.66818716037908
S41,132784,S41,S41,Shannon,2.66865772399033
S41,135872,S41,S41,Shannon,2.66937474676442
S41,138960,S41,S41,Shannon,2.66954581100224
S41,142048,S41,S41,Shannon,2.66898440711397
S41,145136,S41,S41,Shannon,2.66914188960622
S41,148224,S41,S41,Shannon,2.66933971365399
S41,151312,S41,S41,Shannon,2.66956822375597
S41,154400,S41,S41,Shannon,2.66953890679654
S41,154400,S41,S41,Shannon,2.66953890679654
S42,3088,S42,S42,Shannon,2.7044816677697
S42,6176,S42,S42,Shannon,2.69674215150142
S42,9264,S42,S42,Shannon,2.71086793647398
S42,12352,S42,S42,Shannon,2.71536003545291
S42,15440,S42,S42,Shannon,2.72043192234759
S42,18528,S42,S42,Shannon,2.72601584379642
S42,21616,S42,S42,Shannon,2.72322307342317
S42,24704,S42,S42,Shannon,2.72455047276834
S42,27792,S42,S42,Shannon,2.72415126164983
S42,30880,S42,S42,Shannon,2.71599383189633
S42,33968,S42,S42,Shannon,2.71337304764141
S42,37056,S42,S42,Shannon,2.71333910764354
S42,40144,S42,S42,Shannon,2.71192191849057
S42,43232,S42,S42,Shannon,2.71094321411227
S42,46320,S42,S42,Shannon,2.710643964201
S42,49408,S42,S42,Shannon,2.71047999996303
S42,52496,S42,S42,Shannon,2.70964107582685
S42,55584,S42,S42,Shannon,2.71191229461133
S42,58672,S42,S42,Shannon,2.71265071057097
S42,61760,S42,S42,Shannon,2.71476781343407
S42,64848,S42,S42,Shannon,2.71437289385677
S42,67936,S42,S42,Shannon,2.71301174382859
S42,71024,S42,S42,Shannon,2.71181118248691
S42,74112,S42,S42,Shannon,2.71412706246713
S42,77200,S42,S42,Shannon,2.71264852243884
S42,80288,S42,S42,Shannon,2.71161765470714
S42,83376,S42,S42,Shannon,2.71167673048251
S42,86464,S42,S42,Shannon,2.71220442963262
S42,89552,S42,S42,Shannon,2.71258054515878
S42,92640,S42,S42,Shannon,2.71196436984365
S42,95728,S42,S42,Shannon,2.71166442375445
S42,98816,S42,S42,Shannon,2.71162589819455
S42,101904,S42,S42,Shannon,2.71160929855259
S42,104992,S42,S42,Shannon,2.71024723254992
S42,108080,S42,S42,Shannon,2.71004699307149
S42,111168,S42,S42,Shannon,2.70953173307901
S42,114256,S42,S42,Shannon,2.70995213075557
S42,117344,S42,S42,Shannon,2.71025106027013
S42,120432,S42,S42,Shannon,2.70996025517691
S42,123520,S42,S42,Shannon,2.71016624921332
S42,126608,S42,S42,Shannon,2.7096641611634
S42,129696,S42,S42,Shannon,2.70899396451843
S42,132784,S42,S42,Shannon,2.7095656075335
S42,135872,S42,S42,Shannon,2.71027097069113
S42,138960,S42,S42,Shannon,2.71051092934094
S42,142048,S42,S42,Shannon,2.70993870310484
S42,145136,S42,S42,Shannon,2.7101658751575
S42,148224,S42,S42,Shannon,2.71050784112857
S42,151312,S42,S42,Shannon,2.71076527828117
S42,154400,S42,S42,Shannon,2.71070148356065
S42,154400,S42,S42,Shannon,2.71070148356065
S43,3088,S43,S43,Shannon,2.80862888182004
S43,6176,S43,S43,Shannon,2.80391581398047
S43,9264,S43,S43,Shannon,2.81946915653578
S43,12352,S43,S43,Shannon,2.82446843051461
S43,15440,S43,S43,Shannon,2.82965574348362
S43,18528,S43,S43,Shannon,2.83610533361691
S43,21616,S43,S43,Shannon,2.83372993350709
S43,24704,S43,S43,Shannon,2.83455750051406
S43,27792,S43,S43,Shannon,2.83535438768697
S43,30880,S43,S43,Shannon,2.82789903361635
S43,33968,S43,S43,Shannon,2.8256546852287
S43,37056,S43,S43,Shannon,2.82572699306915
S43,40144,S43,S43,Shannon,2.8243497629298
S43,43232,S43,S43,Shannon,2.82328319862011
S43,46320,S43,S43,Shannon,2.82319041146055
S43,49408,S43,S43,Shannon,2.82302668333926
S43,52496,S43,S43,Shannon,2.82225250510433
S43,55584,S43,S43,Shannon,2.82453894844756
S43,58672,S43,S43,Shannon,2.82543419192886
S43,61760,S43,S43,Shannon,2.82757008646332
S43,64848,S43,S43,Shannon,2.82721135752622
S43,67936,S43,S43,Shannon,2.82609807405551
S43,71024,S43,S43,Shannon,2.82471412546634
S43,74112,S43,S43,Shannon,2.82685690677253
S43,77200,S43,S43,Shannon,2.82549449390843
S43,80288,S43,S43,Shannon,2.82480099695292
S43,83376,S43,S43,Shannon,2.8248325781411
S43,86464,S43,S43,Shannon,2.82539310493245
S43,89552,S43,S43,Shannon,2.82570107892781
S43,92640,S43,S43,Shannon,2.82498898010278
S43,95728,S43,S43,Shannon,2.82493128592258
S43,98816,S43,S43,Shannon,2.82490464705753
S43,101904,S43,S43,Shannon,2.82496558235243
S43,104992,S43,S43,Shannon,2.82364230279223
S43,108080,S43,S43,Shannon,2.82339516929831
S43,111168,S43,S43,Shannon,2.82276397425086
S43,114256,S43,S43,Shannon,2.82316767453192
S43,117344,S43,S43,Shannon,2.82344801152862
S43,120432,S43,S43,Shannon,2.82332250498103
S43,123520,S43,S43,Shannon,2.82345436044178
S43,126608,S43,S43,Shannon,2.8231205019676
S43,129696,S43,S43,Shannon,2.82228180855112
S43,132784,S43,S43,Shannon,2.82270301891017
S43,135872,S43,S43,Shannon,2.82345702947849
S43,138960,S43,S43,Shannon,2.8236029696847
S43,142048,S43,S43,Shannon,2.82292587380649
S43,145136,S43,S43,Shannon,2.82302752905631
S43,148224,S43,S43,Shannon,2.82331518129083
S43,151312,S43,S43,Shannon,2.82365155569183
S43,154400,S43,S43,Shannon,2.82366716912244
S43,154400,S43,S43,Shannon,2.82366716912244
